index,filename,Background,Head,Hair,Facial Hair,Headwear,Eyewear,Mouthpiece
14,14.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),night-vision (Rare),rose-wood-pipe (Rare)
15,15.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),night-vision (Rare),gold-cigar (Legendary)
16,16.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
17,17.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
18,18.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),saudi-flag-shades (Rare),gold-cigar (Legendary)
19,19.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes (Legendary),pear-wood-pipe (Rare)
20,20.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes (Legendary),rose-wood-pipe (Rare)
21,21.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes (Legendary),gold-cigar (Legendary)
22,22.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
23,23.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
24,24.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),laser-eyes-gold (Legendary),gold-cigar (Legendary)
25,25.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-classic-shades (Rare),pear-wood-pipe (Rare)
26,26.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-classic-shades (Rare),rose-wood-pipe (Rare)
27,27.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-classic-shades (Rare),gold-cigar (Legendary)
28,28.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-visor (Rare),pear-wood-pipe (Rare)
29,29.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-visor (Rare),rose-wood-pipe (Rare)
30,30.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),gold-visor (Rare),gold-cigar (Legendary)
31,31.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),shield-shades (Rare),pear-wood-pipe (Rare)
32,32.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),shield-shades (Rare),rose-wood-pipe (Rare)
33,33.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),shield-shades (Rare),gold-cigar (Legendary)
34,34.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),vr (Rare),pear-wood-pipe (Rare)
35,35.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),vr (Rare),rose-wood-pipe (Rare)
36,36.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),vr (Rare),gold-cigar (Legendary)
37,37.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),night-vision (Rare),pear-wood-pipe (Rare)
38,38.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),night-vision (Rare),rose-wood-pipe (Rare)
39,39.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),night-vision (Rare),gold-cigar (Legendary)
40,40.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
41,41.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
42,42.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),saudi-flag-shades (Rare),gold-cigar (Legendary)
43,43.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes (Legendary),pear-wood-pipe (Rare)
44,44.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes (Legendary),rose-wood-pipe (Rare)
45,45.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes (Legendary),gold-cigar (Legendary)
46,46.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
47,47.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
48,48.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh-crown (Rare),laser-eyes-gold (Legendary),gold-cigar (Legendary)
49,49.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-classic-shades (Rare),pear-wood-pipe (Rare)
50,50.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-classic-shades (Rare),rose-wood-pipe (Rare)
51,51.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-classic-shades (Rare),gold-cigar (Legendary)
52,52.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-visor (Rare),pear-wood-pipe (Rare)
53,53.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-visor (Rare),rose-wood-pipe (Rare)
54,54.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),gold-visor (Rare),gold-cigar (Legendary)
55,55.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),shield-shades (Rare),pear-wood-pipe (Rare)
56,56.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),shield-shades (Rare),rose-wood-pipe (Rare)
57,57.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),shield-shades (Rare),gold-cigar (Legendary)
58,58.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),vr (Rare),pear-wood-pipe (Rare)
59,59.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),vr (Rare),rose-wood-pipe (Rare)
60,60.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),vr (Rare),gold-cigar (Legendary)
61,61.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),night-vision (Rare),pear-wood-pipe (Rare)
62,62.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),night-vision (Rare),rose-wood-pipe (Rare)
63,63.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),night-vision (Rare),gold-cigar (Legendary)
64,64.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
65,65.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
66,66.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),saudi-flag-shades (Rare),gold-cigar (Legendary)
67,67.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes (Legendary),pear-wood-pipe (Rare)
68,68.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes (Legendary),rose-wood-pipe (Rare)
69,69.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes (Legendary),gold-cigar (Legendary)
70,70.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
71,71.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
72,72.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),green-shemagh_gold-crown (Rare),laser-eyes-gold (Legendary),gold-cigar (Legendary)
73,73.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-classic-shades (Rare),pear-wood-pipe (Rare)
74,74.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-classic-shades (Rare),rose-wood-pipe (Rare)
75,75.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-classic-shades (Rare),gold-cigar (Legendary)
76,76.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-visor (Rare),pear-wood-pipe (Rare)
77,77.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-visor (Rare),rose-wood-pipe (Rare)
78,78.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),gold-visor (Rare),gold-cigar (Legendary)
79,79.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),shield-shades (Rare),pear-wood-pipe (Rare)
80,80.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),shield-shades (Rare),rose-wood-pipe (Rare)
81,81.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),shield-shades (Rare),gold-cigar (Legendary)
82,82.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),vr (Rare),pear-wood-pipe (Rare)
83,83.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),vr (Rare),rose-wood-pipe (Rare)
84,84.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),vr (Rare),gold-cigar (Legendary)
85,85.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),night-vision (Rare),pear-wood-pipe (Rare)
86,86.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),night-vision (Rare),rose-wood-pipe (Rare)
87,87.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),night-vision (Rare),gold-cigar (Legendary)
88,88.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
89,89.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
90,90.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),saudi-flag-shades (Rare),gold-cigar (Legendary)
91,91.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes (Legendary),pear-wood-pipe (Rare)
92,92.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes (Legendary),rose-wood-pipe (Rare)
93,93.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes (Legendary),gold-cigar (Legendary)
94,94.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
95,95.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
96,96.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_stylish-gold-agal (Rare),laser-eyes-gold (Legendary),gold-cigar (Legendary)
97,97.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-classic-shades (Rare),pear-wood-pipe (Rare)
98,98.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-classic-shades (Rare),rose-wood-pipe (Rare)
99,99.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-classic-shades (Rare),gold-cigar (Legendary)
100,100.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-visor (Rare),pear-wood-pipe (Rare)
101,101.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-visor (Rare),rose-wood-pipe (Rare)
102,102.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),gold-visor (Rare),gold-cigar (Legendary)
103,103.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),shield-shades (Rare),pear-wood-pipe (Rare)
104,104.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),shield-shades (Rare),rose-wood-pipe (Rare)
105,105.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),shield-shades (Rare),gold-cigar (Legendary)
106,106.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),vr (Rare),pear-wood-pipe (Rare)
107,107.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),vr (Rare),rose-wood-pipe (Rare)
108,108.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),vr (Rare),gold-cigar (Legendary)
109,109.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),night-vision (Rare),pear-wood-pipe (Rare)
110,110.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),night-vision (Rare),rose-wood-pipe (Rare)
111,111.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),night-vision (Rare),gold-cigar (Legendary)
112,112.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
113,113.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
114,114.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),saudi-flag-shades (Rare),gold-cigar (Legendary)
115,115.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes (Legendary),pear-wood-pipe (Rare)
116,116.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes (Legendary),rose-wood-pipe (Rare)
117,117.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes (Legendary),gold-cigar (Legendary)
118,118.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
119,119.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
120,120.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),white-shemagh_gold-bisht (Legendary),laser-eyes-gold (Legendary),gold-cigar (Legendary)
121,121.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-classic-shades (Rare),pear-wood-pipe (Rare)
122,122.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-classic-shades (Rare),rose-wood-pipe (Rare)
123,123.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-classic-shades (Rare),gold-cigar (Legendary)
124,124.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-visor (Rare),pear-wood-pipe (Rare)
125,125.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-visor (Rare),rose-wood-pipe (Rare)
126,126.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),gold-visor (Rare),gold-cigar (Legendary)
127,127.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),shield-shades (Rare),pear-wood-pipe (Rare)
128,128.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),shield-shades (Rare),rose-wood-pipe (Rare)
129,129.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),shield-shades (Rare),gold-cigar (Legendary)
130,130.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),vr (Rare),pear-wood-pipe (Rare)
131,131.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),vr (Rare),rose-wood-pipe (Rare)
132,132.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),vr (Rare),gold-cigar (Legendary)
133,133.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),night-vision (Rare),pear-wood-pipe (Rare)
134,134.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),night-vision (Rare),rose-wood-pipe (Rare)
135,135.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),night-vision (Rare),gold-cigar (Legendary)
136,136.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),saudi-flag-shades (Rare),pear-wood-pipe (Rare)
137,137.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),saudi-flag-shades (Rare),rose-wood-pipe (Rare)
138,138.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),saudi-flag-shades (Rare),gold-cigar (Legendary)
139,139.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes (Legendary),pear-wood-pipe (Rare)
140,140.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes (Legendary),rose-wood-pipe (Rare)
141,141.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes (Legendary),gold-cigar (Legendary)
142,142.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes-gold (Legendary),pear-wood-pipe (Rare)
143,143.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes-gold (Legendary),rose-wood-pipe (Rare)
144,144.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),sultan-legend (Legendary),laser-eyes-gold (Legendary),gold-cigar (Legendary)
145,145.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),pear-wood-pipe (Rare)
146,146.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),rose-wood-pipe (Rare)
147,147.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),gold-cigar (Legendary)
148,148.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-visor (Rare),pear-wood-pipe (Rare)
149,149.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-visor (Rare),rose-wood-pipe (Rare)
150,150.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),gold-visor (Rare),gold-cigar (Legendary)
151,151.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),shield-shades (Rare),pear-wood-pipe (Rare)
152,152.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),shield-shades (Rare),rose-wood-pipe (Rare)
153,153.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),stytlish-black-sideburns (Rare),red-shemagh_crown (Rare),shield-shades (Rare),gold-cigar (Legendary)
